iShares Core S&P 500 ETF
Fund Holdings as of,"Jan 31, 2022"
Inception Date,"May 15, 2000"
Shares Outstanding,"704,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"COP","CONOCOPHILLIPS","Energy","Equity","972,131,978.16","0.30","972,131,978.16","10,969,668.00","88.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","969,304,224.72","0.30","969,304,224.72","1,654,724.00","585.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","965,163,982.56","0.30","965,163,982.56","9,816,558.00","98.32","United States","NASDAQ","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","964,295,902.84","0.30","964,295,902.84","6,149,062.00","156.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","952,447,099.00","0.30","952,447,099.00","3,787,066.00","251.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","938,409,191.46","0.29","938,409,191.46","5,218,603.00","179.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","919,895,751.84","0.29","919,895,751.84","4,593,966.00","200.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","906,781,756.08","0.28","906,781,756.08","4,498,818.00","201.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Discretionary","Equity","894,731,982.90","0.28","894,731,982.90","4,059,030.00","220.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANTM","ANTHEM INC","Health Care","Equity","887,873,390.36","0.28","887,873,390.36","2,013,364.00","440.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","883,182,325.20","0.28","883,182,325.20","2,346,393.00","376.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","862,774,070.16","0.27","862,774,070.16","9,131,817.00","94.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","843,599,413.02","0.26","843,599,413.02","2,968,539.00","284.18","United States","NASDAQ","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","840,971,543.61","0.26","840,971,543.61","342,397.00","2,456.13","United States","NASDAQ","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","832,173,543.50","0.26","832,173,543.50","2,004,175.00","415.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","793,335,535.08","0.25","793,335,535.08","4,778,554.00","166.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","791,795,497.92","0.25","791,795,497.92","2,034,784.00","389.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","785,868,370.88","0.25","785,868,370.88","3,933,472.00","199.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","780,191,261.02","0.24","780,191,261.02","11,639,434.00","67.03","United States","NASDAQ","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","777,490,360.32","0.24","777,490,360.32","15,280,864.00","50.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","765,350,570.24","0.24","765,350,570.24","9,302,912.00","82.27","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","734,103,200.26","0.23","734,103,200.26","4,477,058.00","163.97","United States","NASDAQ","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","722,995,855.41","0.23","722,995,855.41","3,509,859.00","205.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Information Technology","Equity","720,257,575.21","0.23","720,257,575.21","3,493,513.00","206.17","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","717,996,173.00","0.23","717,996,173.00","10,454,225.00","68.68","United States","NASDAQ","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","717,554,574.30","0.22","717,554,574.30","9,970,190.00","71.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","706,777,300.80","0.22","706,777,300.80","3,582,610.00","197.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","698,381,373.24","0.22","698,381,373.24","11,117,182.00","62.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","693,958,074.70","0.22","693,958,074.70","2,797,654.00","248.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","690,812,247.84","0.22","690,812,247.84","1,171,027.00","589.92","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","685,904,814.00","0.22","685,904,814.00","2,988,692.00","229.50","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","674,338,641.30","0.21","674,338,641.30","6,418,605.00","105.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","662,637,999.80","0.21","662,637,999.80","32,642,266.00","20.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Real Estate","Equity","657,267,057.66","0.21","657,267,057.66","3,601,266.00","182.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","654,367,731.16","0.21","654,367,731.16","11,245,364.00","58.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","642,346,562.20","0.20","642,346,562.20","4,180,855.00","153.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
